t,ex,red,th
0.981,-0.0032648500108628234,-0.0009823276983611357,-0.0009823276983611264
0.984,-0.0032161047917580537,-0.0009186742285238955,-0.0009186742285238879
0.987,-0.0031659686471931132,-0.000854194013889634,-0.0008541940138896244
0.99,-0.0031144803963666437,-0.000788945082299238,-0.0007889450822992302
0.993,-0.003061679893169046,-0.0007229861533869683,-0.0007229861533869623
0.996,-0.0030076082696211008,-0.0006563765857367515,-0.0006563765857367435
0.999,-0.002952308161169068,-0.000589176323463462,-0.0005891763234634562
1.002,-0.002895823909932495,-0.0005214458422672642,-0.0005214458422672601
1.005,-0.0028382017424510393,-0.00045324609500956427,-0.0004532460950095582
1.008,-0.0027794899189810497,-0.00038463845685954935,-0.0003846384568595453
1.011,-0.002719738851941495,-0.00031568467006067784,-0.00031568467006067567
1.014,-0.0026590011916915296,-0.00024644678836682765,-0.0002464467883668234
1.017,-0.0025973318784272173,-0.00017698712119810651,-0.00017698712119810426
1.02,-0.002534788159601129,-0.00010736817756657934,-0.00010736817756657933
1.023,-0.0024714295728840937,-3.765260982237679e-05,-3.7652609822374236e-05
1.026,-0.0024073178952916446,3.209684272919098e-05,3.209684272919124e-05
1.029,-0.002342517059677564,0.00010181741028877438,0.00010181741028877683
1.032,-0.0022770930403427066,0.0001714463490515669,0.00017144634905156718
1.035,-0.0022111137100091715,0.0002409209976724944,0.00024092099767249664
1.038,-0.002144648670859019,0.00031017883365719616,0.00031017883365719225
1.041,-0.0020777690627254188,0.00037915752962804956,0.00037915752962804767
1.044,-0.0020105473518458586,0.00044779500941460323,0.0004477950094145995
1.047,-0.001943057103836953,0.0005160295039179401,0.0005160295039179381
1.05,-0.0018753727447248384,0.0005837996066986974,0.0005837996066986936
1.053,-0.0018075693139622405,0.0006510443292387173,0.0006510443292387153
1.056,-0.0017397222133825854,0.0007177031558265961,0.000717703155826592
1.059,-0.0016719069559842587,0.0007837160980177406,0.0007837160980177345
1.062,-0.0016041989183069143,0.0008490237486199188,0.0008490237486199146
1.065,-0.0015366730999607963,0.000913567335155723,0.0009135673351557168
1.068,-0.0014694038936047741,0.000977288772753832,0.0009772887727538238
1.071,-0.0014024648683460487,0.001040130716421476,0.0010401307164214697
1.074,-0.001335928569161834,0.0011020366126510577,0.0011020366126510493
1.077,-0.0012698663345295878,0.001162950750314493,0.001162950750314483
1.08,-0.0012043481340067862,0.0012228183107994663,0.0012228183107994579
1.083,-0.001139442427033692,0.0012815854173424798,0.0012815854173424694
1.086,-0.0010752160437531434,0.0013391991835143056,0.0013391991835142933
1.089,-0.0010117340881603356,0.0013956077608142017,0.001395607760814191
1.092,-0.0009490598634227896,0.0014507603853300627,0.0014507603853300501
1.095,-0.0008872548187560442,0.001504607423422515,0.0015046074234225004
1.098,-0.0008263785168130369,0.001557100416391841,0.0015571004163918282
1.101,-0.0007664886201531247,0.0016081921240875395,0.001608192124087525
1.104,-0.0007076408950077294,0.0016578365674212712,0.0016578365674212582
1.107,-0.0006498892302600808,0.0017059890697449349,0.0017059890697449203
1.11,-0.0005932856693117331,0.0017526062970566357,0.0017526062970566224
1.113,-0.0005378804523225369,0.0017976462969983616,0.0017976462969983443
1.116,-0.0004837220661861795,0.001841068536610274,0.0018410685366102577
1.119,-0.00043085729954162695,0.0018828339388076351,0.0018828339388076178
1.122,-0.00037933130012178127,0.0019229049175475475,0.0019229049175475312
1.125,-0.0003291876318030282,0.0019612454116538554,0.001961245411653838
1.1280000000000001,-0.0002804683288404338,0.001997820917269769,0.001997820917269752
1.131,-0.00023321394494926726,0.0020325985189090057,0.0020325985189089874
1.1340000000000001,-0.00018746359511928089,0.0020655469190775082,0.002065546919077489
1.137,-0.00014325498831782728,0.002096636466439076,0.0020966364664390578
