t,e,b,l
1.788,0.0159799540600593,0.11699781728995297,0.009952736968010805
1.791,0.01590181742210895,0.11657738238460841,0.009916971531338643
1.794,0.015824043270408643,0.1161584583237712,0.009881334618756328
1.797,0.015746634729968616,0.11574103967817978,0.009845825768408987
1.7999999999999998,0.015669595633779076,0.11532512103808258,0.00981044452010141
1.803,0.015592930498838715,0.11491069701316822,0.00977519041529213
1.806,0.015516644470342057,0.1144977622324955,0.009740062997087452
1.809,0.015440743234253774,0.11408631134442394,0.009705061810235546
1.8119999999999998,0.015365232901290445,0.11367633901654427,0.009670186401120544
1.815,0.015290119867577064,0.11326783993560935,0.009635436317756652
1.818,0.015215410658744835,0.11286080880746534,0.009600811109782297
1.821,0.015141111764925975,0.1124552403569832,0.00956631032845431
1.8239999999999998,0.015067229474041233,0.1120511293279901,0.009531933526642077
1.827,0.014993769710111933,0.11164847048320146,0.009497680258821768
1.83,0.014920737882257932,0.11124725860415297,0.009463550081070546
1.833,0.014848138748777169,0.11084748849113311,0.009429542551060837
1.8359999999999999,0.014775976299415192,0.11044915496311564,0.009395657228054575
1.839,0.01470425365776689,0.1100522528576924,0.009361893672897496
1.842,0.014632973004793472,0.10965677703100654,0.009328251448013452
1.845,0.014562135523717112,0.1092627223576859,0.009294730117398743
1.8479999999999999,0.01449174136608339,0.10887008373077633,0.009261329246616452
1.851,0.014421789638525525,0.10847885606167575,0.009228048402790824
1.8539999999999999,0.014352278409673402,0.1080890342800681,0.009194887154601664
1.857,0.014283204736670817,0.10770061333385755,0.00916184507227872
1.8599999999999999,0.014214564710810233,0.10731358818910333,0.009128921727596153
1.863,0.014146353521792904,0.10692795382995408,0.009096116693866951
1.8659999999999999,0.014078565539993195,0.10654370525858313,0.00906342954593742
1.869,0.014011194415784297,0.10616083749512355,0.009030859860181657
1.8719999999999999,0.013944233194446216,0.10577934557760386,0.008998407214496091
1.875,0.013877674444431191,0.10539922456188343,0.008966071188293973
1.878,0.013811510395877176,0.10502046952158858,0.008933851362499952
1.881,0.01374573308534045,0.10464307554804864,0.00890174731954463
1.884,0.013680334501901412,0.10426703775023251,0.00886975864335917
1.887,0.013615306729222745,0.10389235125468502,0.008837884919369874
1.89,0.013550642077926042,0.10351901120546396,0.008806125734492838
1.893,0.01348633320286454,0.103147012764077,0.008774480677128573
1.896,0.013422373200526683,0.10277635110941925,0.008742949337156703
1.899,0.013358755682849697,0.10240702143771042,0.008711531305930616
1.902,0.01329547482506302,0.1020390189624328,0.008680226176272187
1.905,0.013232525386688766,0.10167233891426909,0.008649033542466494
1.908,0.013169902706366362,0.10130697654104086,0.008617953000256575
1.911,0.01310760267261498,0.10094292710764656,0.008586984146838162
1.914,0.0130456216738978,0.10058018589600046,0.008556126580854482
1.917,0.012983956532337106,0.10021874820497133,0.008525379902391047
1.92,0.012922604426093866,0.09985860935032172,0.008494743712970475
1.923,0.012861562805767328,0.099499764664647,0.008464217615547326
1.926,0.012800829310175604,0.09914220949731499,0.008433801214502943
1.9289999999999998,0.012740401686583927,0.09878593921440576,0.008403494115640349
1.932,0.012680277719881252,0.09843094919865139,0.008373295926179112
1.935,0.012620455174422276,0.09807723484937639,0.00834320625475028
1.938,0.012560931751310941,0.09772479158243781,0.008313224711391289
1.9409999999999998,0.012501705062870853,0.09737361483016597,0.008283350907540916
1.944,0.012442772624996934,0.09702370004130521,0.00825358445603424
1.947,0.012384131867080587,0.09667504268095505,0.008223924971097642
1.95,0.012325780158297219,0.09632763823051117,0.008194372068343779
1.9529999999999998,0.01226771484829396,0.09598148218760705,0.008164925364766616
1.956,0.012209933319729756,0.09563657006605546,0.008135584478736461
1.959,0.012152433049721882,0.09529289739579057,0.008106349029995024
1.962,0.012095211677027172,0.09495045972280974,0.008077218639650482
1.9649999999999999,0.012038267071728195,0.09460925260911592,0.008048192930172563
1.968,0.011981597404269163,0.09426927163266009,0.008019271525387664
1.971,0.011925201210878977,0.09393051238728413,0.007990454050473982
1.974,0.011869077452688014,0.09359297048266343,0.007961740131956635
1.9769999999999999,0.01181322556616628,0.0932566415442502,0.007933129397702838
1.98,0.011757645502846616,0.09292152121321665,0.00790462147691707
1.983,0.011702337756618653,0.09258760514639865,0.007876216000136285
1.986,0.011647303377154729,0.09225488901623928,0.007847912599225104
1.9889999999999999,0.011592543968239806,0.09192336851073284,0.007819710907371056
1.992,0.01153806166991186,0.09159303933336888,0.007791610559079812
1.995,0.01148385912338106,0.09126389720307673,0.007763611190170477
1.998,0.011429939417729844,0.09093593785416976,0.007735712437770832
2.001,0.011376306017449501,0.09060915703629016,0.007707913940312655
2.004,0.01132296267005789,0.09028355051435401,0.007680215337527031
2.007,0.011269913293467566,0.08995911406849616,0.007652616270439678
2.01,0.011217161843604662,0.08963584349401582,0.007625116381366303
2.013,0.011164967078721267,0.08931373460132178,0.007597715313907959
2.016,0.01111317565316073,0.08899278321587828,0.007570412712946427
2.019,0.01106167700105748,0.08867298517815082,0.0075432082246396125
2.022,0.011010469585358233,0.08835433634355246,0.007516101496416973
2.025,0.01095955143723426,0.08803683258238978,0.00748909217697493
2.028,0.010908920252669511,0.08772046977980962,0.007462179916272323
2.031,0.010858573487538162,0.08740524383574556,0.007435364365525875
2.034,0.010808508444494526,0.08709115066486504,0.007408645177205677
2.037,0.010758722347583873,0.08677818619651614,0.007382022005030675
2.04,0.010709212402934777,0.08646634637467497,0.007355494503964182
2.043,0.010659975845952092,0.08615562715789303,0.007329062330209412
2.046,0.010611009976953542,0.08584602451924499,0.0073027251412050255
2.049,0.010562312188151894,0.08553753444627629,0.0072764825956206855
2.052,0.010513879985290433,0.08523015294095126,0.007250334353352631
2.055,0.010465711007147209,0.08492387601960127,0.007224280075519276
2.058,0.01041780304558763,0.0846186997128732,0.007198319424456819
2.061,0.01037015406796116,0.08431462006567779,0.007172452063714857
2.064,0.01032276224250086,0.08401163313713857,0.007146677658052032
2.067,0.010275625966136716,0.08370973500054066,0.007120995873431683
2.07,0.010228743892916047,0.08340892174328006,0.007095406377017526
2.073,0.010182114960202483,0.08310918946681271,0.00706990883716933
2.076,0.010135738409133684,0.08281053428660412,0.007044502923438619
2.0789999999999997,0.010089613795580172,0.08251295233207896,0.007019188306564397
2.082,0.010043740988108917,0.0822164397465709,0.00699396465846887
2.085,0.009998120150228548,0.08192099268727278,0.006968831652253214
2.088,0.009952751705396482,0.0816266073251865,0.006943788962193312
2.0909999999999997,0.009907636284780152,0.08133327984507369,0.006918836263735553
2.094,0.009862774659398759,0.08104100644540602,0.006893973233492608
2.097,0.009818167659823514,0.08074978333831624,0.006869199549239267
2.1,0.009773816087873373,0.08045960674954876,0.00684451488990823
2.1029999999999998,0.009729720625535104,0.08017047291841094,0.006819918935585968
2.106,0.009685881746558718,0.07988237809772422,0.006795411367508565
2.109,0.00964229963581308,0.0795953185537758,0.006770991868057603
2.112,0.009598974120620364,0.07930929056626991,0.006746660120756022
2.1149999999999998,0.009555904617083142,0.07902429042827984,0.006722415810264039
2.118,0.009513090093079697,0.07874031444619976,0.006698258622375046
2.121,0.009470529048338946,0.07845735893969706,0.006674188244011555
2.124,0.009428219510965775,0.07817542024166436,0.006650204363221124
2.127,0.009386159049055171,0.07789449469817221,0.006626306669172323
2.13,0.009344344795610242,0.07761457866842159,0.006602494852150698
2.133,0.009302773484811589,0.0773356685246969,0.0065787686035547735
2.136,0.009261441497683865,0.07705776065231873,0.0065551276158920336
2.139,0.009220344915274167,0.07678085144959719,0.006531571582774945
2.142,0.009179479577533185,0.07650493732778509,0.006508100198916988
2.145,0.009138841146123785,0.07623001471103161,0.006484713160128705
2.148,0.009098425169369474,0.07595608003633576,0.006461410163313743
2.151,0.009058227147510197,0.07568312975350033,0.006438190906464936
2.154,0.009018242596385753,0.07541116032508582,0.00641505508866039
2.157,0.00897846710764956,0.07514016822636461,0.006392002410059582
2.16,0.00893889640366041,0.07487014994527537,0.006369032571899478
2.163,0.00889952638532895,0.07460110198237736,0.006346145276490652
2.166,0.008860353171421136,0.07433302085080522,0.006323340227213434
2.169,0.008821373128148496,0.0740659030762237,0.006300617128514065
2.172,0.008782582888297861,0.07379974519678277,0.006277975685900875
2.175,0.00874397935965982,0.07353454376307254,0.006255415605940444
2.178,0.008705559723080531,0.07327029533807874,0.006232936596253823
2.181,0.008667321421055318,0.07300699649713803,0.006210538365512725
2.184,0.008629262138356558,0.07274464382789382,0.0061882206234357764
2.187,0.008591379776693376,0.07248323393025181,0.006165983080784723
2.19,0.008553672425772716,0.07222276341633609,0.006143825449360701
2.193,0.008516138333319998,0.07196322891044508,0.006121747442000494
2.196,0.008478775876576477,0.07170462704900804,0.006099748772572821
2.199,0.008441583537509812,0.0714469544805412,0.006077829155974619
2.202,0.00840455988347139,0.07119020786560444,0.006055988308127348
2.205,0.008367703554367176,0.07093438387675804,0.006034225945973314
2.208,0.00833101325665943,0.07067947919851957,0.006012541787472001
2.211,0.00829448776379149,0.07042549052732078,0.005990935551596409
2.214,0.008258125922008745,0.07017241457146497,0.005969406958329421
2.217,0.008221926660117503,0.06992024805108416,0.005947955728660162
2.22,0.00818588900150413,0.06966898769809679,0.005926581584580403
2.223,0.008150012076734051,0.06941863025616513,0.005905284249080932
2.226,0.008114295135223128,0.06916917248065321,0.005884063446147985
2.2289999999999996,0.00807873755477587,0.0689206111385848,0.005862918900759656
2.232,0.008043338848148406,0.06867294300860138,0.005841850338882343
2.235,0.008008098666170601,0.0684261648809206,0.00582085748746719
2.238,0.007973016797305965,0.0681802735572944,0.005799940074446549
2.2409999999999997,0.007938093163814351,0.06793526585096783,0.005779097828730454
2.244,0.007903327814896138,0.06769113858663753,0.005758330480203105
2.247,0.00786872091733943,0.06744788860041079,0.00573763775971938
2.25,0.007834272744263938,0.06720551273976438,0.0057170193991013295
2.2529999999999997,0.00779998366257084,0.06696400786350373,0.005696475131134712
2.2560000000000002,0.0077658541196751665,0.06672337084172225,0.005676004689565523
2.259,0.007731884630027459,0.06648359855576082,0.00565560780909656
2.262,0.007698075761836909,0.06624468789816723,0.005635284225383963
2.2649999999999997,0.007664428124294595,0.06600663577265602,0.005615033675033803
2.2680000000000002,0.0076309423554779075,0.06576943909406827,0.005594855895598661
2.271,0.007597619110995829,0.06553309478833176,0.005574750625574239
2.274,0.007564459053324484,0.06529759979242097,0.005554717604395952
2.2769999999999997,0.0075314628416822856,0.06506295105431746,0.005534756572435569
2.2800000000000002,0.007498631122216229,0.06482914553297024,0.005514867270997829
2.283,0.007465964518212483,0.06459618019825657,0.0054950494423171145
2.286,0.007433463620015829,0.0643640520309424,0.0054753028295540865
2.2889999999999997,0.007401128974338902,0.06413275802264345,0.005455627176792366
2.2920000000000003,0.00736896107267172,0.06390229517578609,0.005436022229035214
2.295,0.007336960338558302,0.06367266050356866,0.00541648773220224
2.298,0.007305127113595743,0.06344385102992259,0.00539702343312609
2.3009999999999997,0.007273461642123456,0.06321586378947387,0.005377629079549175
2.304,0.007241964054708481,0.06298869582750467,0.005358304420120397
2.307,0.007210634350684679,0.06276234419991503,0.0053390492043919055
2.31,0.007179472380165719,0.0625368059731847,0.005319863182815832
2.3129999999999997,0.007148477826110637,0.062312078224335106,0.005300746106741069
2.316,0.0071176501871615915,0.06208815804089147,0.005281697728410043
2.319,0.007086988762089029,0.06186504252084505,0.0052627178009555025
2.322,0.00705649263674496,0.061642728772615646,0.005243806078397326
2.3249999999999997,0.0070261606744388624,0.06142121391501393,0.00522496231563932
2.328,0.006995991510596256,0.06120049507720425,0.005206186268466059
2.331,0.006965983552435504,0.06098056939866736,0.005187477693539705
2.334,0.006936134984209403,0.06076143402916344,0.005168836348396871
2.3369999999999997,0.006906443778309693,0.060543086128695,0.005150261991445458
2.34,0.006876907712246575,0.0603255228674702,0.00513175438196154
2.343,0.006847524391209709,0.0601087414258661,0.00511331328008624
2.346,0.006818291275619091,0.05989273899439223,0.005094938446822622
2.3489999999999998,0.006789205712808785,0.05967751277365404,0.005076629644032587
2.352,0.006760264971773741,0.05946305997431669,0.005058386634433795
2.355,0.006731466279767353,0.05924937781706887,0.005040209181596585
